product_id,category,price,units_sold,season,customer_segment,inventory,competitor_price
101,Shoes,2000,30,Summer,Premium,200,2100
102,Shoes,2200,40,Winter,Premium,150,2300
103,Shoes,1800,25,Festival,Budget,300,1900
104,Watch,5000,50,Summer,Budget,120,5200
105,Watch,5500,60,Festival,Premium,100,5700
106,Watch,4800,45,Winter,Standard,140,5000
107,Mobile,25000,20,Festival,Premium,50,26000
108,Mobile,24000,18,Winter,Standard,70,24500
109,Mobile,27000,22,Summer,Premium,40,27500
110,Laptop,70000,10,Festival,Premium,20,71000
111,Laptop,68000,8,Winter,Standard,25,69000
112,Laptop,72000,12,Summer,Premium,15,73000
113,TV,50000,5,Festival,Premium,10,51000
114,TV,48000,6,Winter,Standard,12,49000
115,TV,52000,7,Summer,Premium,8,53000
116,Shoes,2100,35,Summer,Standard,220,2200
117,Watch,5300,55,Festival,Premium,110,5400
118,Mobile,25500,21,Winter,Premium,45,26000
119,Laptop,71000,11,Festival,Premium,18,72000
120,TV,51000,6,Summer,Standard,9,51500
